Offre ,Lien,Entreprises,Compétences
"Offre de Stage Data Scientist, IOT for supply chain",Indeed link,TRAXENS,Mettre à disposition les rendus visuels et physiques des données
STAGE DATA SCIENTIST,lien site entreprise,BOURBON,Mettre à disposition les rendus visuels et physiques des données
Ingénieur Projet Data F/H,Lien APEC,GROUPE KEDGE BUSINESS SCHOOL,"Acquérir des données
"
Data Manager / Data Analyst (H/F),Indeed link,"DIGITICK
",Nettoyer une base de données
Maintenance Data Analyst,Indeed link,AIRBUS,Concevoir et réaliser un rendu visuel des données
Data Scientist Junior,LinkedIn link,AXIODIS,Mettre à disposition les rendus visuels et physiques des données
Data Scientist,LinkedIn link,DAVIDSON CONSULTING,Mettre à disposition les rendus visuels et physiques des données
Data Manager,APEC link,Robert Half International (société de recrutement),"Acquérir des données
"
Auditeur Interne spécialiste Data F/H,APEC link,CAISSE D'EPARGNE,Concevoir et réaliser un rendu visuel des données
Consultant Data Visualisation - Marseille F/H,Lien APEC,Frank recruitement group,Mettre à disposition les rendus visuels et physiques des données
